quote,movie,type,year
I always tell tell the truth even when i lie.,Scarface,movie,1983
I am a Jedi like my father before me.,Star Wars Episode 6 : Return Of The Jedi,movie,1983
From now on we are enemies you and I.,Amadeus,movie,1984
Ill be back.,The Terminator,movie,1984
Hasta la Vista baby.,The Terminator,movie,1984
I cant believe I just gave my panties to a geek.,Sixteen Candles,movie,1984
Are you telling me that you built a time machine out of a DeLorean.,Back to the Future,movie,1985
I feel the need for speed,Top Gun,movie,1986
I feel the need  the need for speed!.,Top Gun,movie,1986
I feel the need!!!! The need for speed!!!!,Top Gun,movie,1986
Its only forever not long at all...,Labyrinth,movie,1986
Life moves pretty fast. If you dont stop and look around once in a while you could miss it.,Ferris Buellers Day Off,movie,1986
Im a mog: half man half dog. Im my own best friend!,Spaceballs,movie,1987
Snap out of it!,Moonstruck,movie,1987
Come on... Come on! Do it! Do it! Come on. Come on! Kill me! Im here! Kill me! Im here! Kill me! Come on! Kill me! Im here! Come on! Do it now! Kill me!,Predator,movie,1987
You idiots! These are not them! Youve captured their stunt doubles!,Spaceballs,movie,1987
So Lone Starr now you see that evil will always triumph because good is dumb.,Spaceballs,movie,1987
And to think Ive been telling my friends its so cool living with an artist. You never once asked to paint me nude!,*batteries not included,movie,1987
Nobody puts Baby in a corner.,Dirty Dancing,movie,1987
Here endeth the lesson.,The Untouchables,movie,1987
Death cannot stop true love,The Princess Bride,movie,1987
As you wish...,The Princess Bride,movie,1987
Hello. My name is Inigo Montoya. You killed my father. Prepare to die.,The Princess Bride,movie,1987
Inconcievable!,The Princess Bride,movie,1987
Greed for lack of a better word is good,Wall Street,movie,1987
Yippiekiyay motherfucker!,Die Hard,movie,1988
Welcome to the party pal!,Die Hard,movie,1988
Like a midget at a urinal I was going to have to stay on my toes.,The Naked Gun,movie,1988
Say it aint so Joe. Say it aint so.,Eight Men Out,movie,1988
Im not bad. Im just drawn that way.,Who Framed Roger Rabbit,movie,1988
Strange things are afoot at The Circle K.,Bill and Teds Most Excellent Adventure,movie,1989
You must strive to find your own voice because the longer you wait to begin the less likely you are going to find it at all.,Dead Poets Society,movie,1989
When you realize you want to spend the rest of your life with somebody you want the rest of your life to start as soon as possible.,When Harry Met Sally,movie,1989
Have you ever danced with the devil in the pale moonlight?,Batman,movie,1989
Ill have what shes having.,When Harry Met Sally,movie,1989
If you build it he will come.,Field of Dreams,movie,1989
Why dont you make like a tree and get out of here.,Back to the Future Part II,movie,1989
Carpe diem. Seize the day boys. Make your lives extraordinary.,Dead Poets Society,movie,1989
Just when I thought I was out they pull me back in.,The Godfather III,movie,1990
Never rat on your friends and always keep your mouth shut,Goodfellas,movie,1990
I love you. I really love you. Ditto.,Ghost,movie,1990
Im funny how?  Funny like Im a clown?  I amuse you?,Goodfellas,movie,1990
This valley is just one long smorgasbord.,Tremors,movie,1990
As far back as I can remember I always wanted to be a gangster.,Goodfellas,movie,1990
Better dead and cool then alive and uncool.,Harley Davidson and The Marlboro Man,movie,1991
Youre a... youre a complex Freudian hallucination having something to do with my mother and I dont know why you have wings but you have very lovely legs and youre a very nice tiny person and what am I saying? I dont know who my mother was. Im an orphan and Ive never taken drugs because I missed the sixties; I was an accountant.,Hook,movie,1991
Oh and Senator just one more thing. Love your suit.,The Silence of the Lambs,movie,1991
Hook you let those kids out of that net in less than one minute or you better get an attorney and hope to God hes better than me.,Hook,movie,1991
Hasta la vista baby.,Terminator 2: Judgment Day,movie,1991
And youd better deliver Miss Bell or no amount of clapping will bring you back from where I will send you.,Hook,movie,1991
Of course its hard. Its supposed to be hard. If it wasnt hard everyone would do it. The hard is what makes it great,A League of their Own,movie,1992
Theres no crying in baseball!,A League of Their Own,movie,1992
You cant handle the truth!,A Few Good Men,movie,1992
Party on Wayne! Party on Garth!,Waynes World,movie,1992
You shoot me in a dream you better wake up and apologise.,Reservoir Dogs,movie,1992
Youre killing me smalls!,The Sandlot,movie,1993
Life uh finds a way.,Jurassic Park,movie,1993
Clever girl.,Jurassic Park,movie,1993
What do you call them Max? Yabbos? Max likes your yabbos. In fact he loves them!,Hocus Pocus,movie,1993
You bred raptors?,Jurassic Park,movie,1993
Im your Huckleberry.,Tombstone,movie,1993
Youre killin me Smalls.,The Sandlot,movie,1993
When I got tired I slept. When I got hungry I ate. When I had to go you know I went.,Forrest Gump,movie,1994
Some birds arent meant to be caged. Their feathers are just too bright.,Shawshank Redemption,movie,1994
Yeah I called her up. She gave me a bunch of crap about me not listening to her or something. I dont know I wasnt really paying attention.,Dumb and Dumber,movie,1994
Run Forrest run!,Forrest Gump,movie,1994
Lord its a miracle! Man up and vanished like a fart in the wind!,Shawshank Redemption,movie,1994
The past can hurt. But the way I see it you can either run from it or learn from it.,The Lion King,movie,1994
Oh yes the past can hurt. But you can either run from it or learn from it.,The Lion King,movie,1994
Hope is a good thing maybe the best of things and no good thing ever dies.,The Shawshank Redemption,movie,1994
Everything the light touches is our kingdom.,The Lion King,movie,1994
Life is like a box of chocolates; you never know what youre gonna get.,Forrest Gump,movie,1994
These walls are funny. First you hate em. Then you get used to em. Enough time passes you get so you depend on them. Thats institutionalized.,Shawshank Redemption,movie,1994
I mean seriously how often do you really look at a mans shoes?,Shawshank Redemption,movie,1994
Hope is a good thing maybe the best of things and no good thing ever dies.,Shawshank Redemption,movie,1994
Everything you see exists together in a delicate balance. As king you need to understand that balance and respect all the creatures from the crawling ant to the leaping antelope.,The Lion King,movie,1994
Mama says stupid is as stupid does.,Forrest Gump,movie,1994
For you the day Bison graced your village was the most important day in your life. But for me it was Tuesday.,Street Fighter,movie,1994
Salvation lies within.,Shawshank Redemption,movie,1994
Hakuna matata,The Lion King,movie,1994
Dont ever let anybody tell you theyre better than you.,Forrest Gump,movie,1994
Mama always said life was like a box of chocolates. You never know what youre gonna get.,Forrest Gump,movie,1994
Is life always this hard or is it just when youre a kid?,Léon,movie,1994
They may take our lives but theyll never take our freedom!,Breaveheart,movie,1995
Houston we have a problem.,Apollo 13,movie,1995
Hack the planet.,Hackers,movie,1995
Whats in the box?!,Seven,movie,1995
They may take our lives but theyll never take our freedom!,Braveheart,movie,1995
I used to think that if none of your family or friends knew you were dead it was like not really being dead. People can invent the best and the worst for you.,Before Sunrise,movie,1995
The greatest trick the devil ever pulled was convincing the world he didnt exist.,The Usual Suspects,movie,1995
Bye Felicia!,Friday,movie,1995
Every man dies; not every man really lives.,Braveheart,movie,1995
This isnt flying. This is falling with style!,Toy Story,movie,1995
To infinity and beyond!,Toy Story,movie,1995
Thatll do pig. Thatll do.,Babe,movie,1995
Get on the scale! Get off the scale!,Heavyweights,movie,1995
Every man dies but not every man really lives.,Braveheart,movie,1995
You can trouble me for a warm glass of SHUT THE HELL UP!! Now you will go to sleep or I will put you to sleep.,Happy Gilmore,movie,1996
Show me the money!,Jerry Maguire,movie,1996
You had me at hello.,Jerry Maguire,movie,1996
You little son of a bitch ball! Why you dont you just go HOME? Thats your HOME! Are you too good for your HOME? ANSWER ME! SUCK MY WHITE ASS BALL!,Happy Gilmore,movie,1996
Some people cant believe in themselves until someone else believes in them first.,Good Will Hunting,movie,1997
Aint no rules says a dog cant play basketball.,Air Bud,movie,1997
Does anything more dangerous than that lurk just beneath the surface?,Titanic,movie,1997
You make me want to be a better man.,As Good as It Gets,movie,1997
Im king of the world!,Titanic,movie,1997
Draw me like one of your French girls,Titanic,movie,1997
Tonights forecast: a freeze is coming!,Batman & Robin,movie,1997
People live their lives bound by what they accept as correct and true. Thats how they define reality. But what does it mean to be correct or true? Merely vague concepts... Their reality may all be a mirage. Can we consider them to simply be living in their own world shaped by their beliefs?,Naruto,anime,1997
My Mama says that alligators are ornery because they got all them teeth and no toothbrush.,The Waterboy,movie,1998
What I need is a real live ghost. Thats an oxymoron Daph.,ScoobyDoo on Zombie Island,movie,1998
You can feel the chill in the air cut who opened a window?,ScoobyDoo on Zombie Island,movie,1998
A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.,The Silence of the lambs,movie,1998
No matter how the wind howls the mountain cannot bow to it.,Mulan,movie,1998
Im the Dude so that's what you call me. That or uh His Dudeness or uh Duder or El Duderino if youre not into the whole brevity thing.,The Big Lebowski,movie,1998
Zoinks! How humiliating! Chased into a hole by 1/3 of a B.L.T.!,ScoobyDoo on Zombie Island,movie,1998
Make the money. Dont let it make you.,The Players Club,movie,1998
Wipe your upper lip romeo.,ScoobyDoo on Zombie Island,movie,1998
Put the weed in the bag first then get money.,Belly,movie,1998
A single grain of rice can tip the scale. One man may be the difference between victory and defeat.,Mulan,movie,1998
Youre taking all the caviar? That caviar is a garnish!,Youve Got Mail,movie,1998
The flower that blooms in adversity is the most rare and beautiful of all.,Mulan,movie,1998
Like... were not looking for any ghoulfriends are we Scooby?,ScoobyDoo on Zombie Island,movie,1998
Im having an old friend for dinner.,The Silence of the lambs,movie,1998
I live in Notting Hill. You live in Beverly Hills. Everyone in the world knows who you are my mother has trouble remembering my name.,Notting Hill,movie,1999
Im also just a girl standing in front of a boy asking him to love her.,Notting Hill,movie,1999
Time is always against us.,The Matrix,movie,1999
The things you used to own now they own you.,Fight Club,movie,1999
Dont touch my nakama(friend) anymore! ,One Piece,anime,1999
Its only after weve lost everything that were free to do anything.,Fight Club,movie,1999
Dont let anyone ever make you feel like you dont deserve what you want.,10 Things I Hate About You,movie,1999
Unfortunately no one can be told what the Matrix is. You have to see it for yourself.,The Matrix,movie,1999
Ignorance Is Bliss,The Matrix,movie,1999
I see dead people.,The Sixth Sense,movie,1999
The first rule of Fight Club is: You do not talk about Fight Club.,Fight Club,movie,1999
There is a difference between knowing the path and walking the path.,The Matrix,movie,1999
Its only after weve lost everything that were free to do anything.,Fight Club,movie,1999
I was the warm little center that the life of this world crowded around.,Fight Club,movie,1999
Fear. Fear attracts the fearful… the strong… the weak… the innocent… the corrupt. Fear. Fear is my ally.,Star Wars: Episode I – The Phantom Menace,movie,1999
By Grabthars hammer...what a savings.,Galaxy Quest,movie,1999
Stop trying to control everything and just let go! LET GO!,Fight Club,movie,1999
Miracles only happen to those who never give up,One Piece,anime,1999
You met me at a very strange time in my life,Fight Club,movie,1999
I know kung fu.,The Matrix,movie,1999
People hurt the ones they love. Thats how it is all around the world,The Green Mile,movie,1999
We need guns. Lots of guns.,Matrix,movie,1999
Damn! Were in a tight spot!,O Brother Where Art Thou?,movie,2000
Are you not entertained?,Gladiator,movie,2000
They called me Mr. Glass.,Unbreakable,movie,2000
I have nipples Greg. Could you milk me?,Meet the Parents,movie,2000
I hope he didnt die. Unless he left a note naming me his successor then I hope he did die.,Futurama,tv,2000
There are No Accidents. No Coincidences. No Escapes. YOU CANT CHEAT DEATH.,Final Destination,tv,2000
Dude wheres my car?,Dude Wheres My Car?,movie,2000
Do you know what happens to a toad when its struck by lightning? The same thing that happens to everything else.,Xmen,movie,2000
Your eyes are like two big blue eyes.,Flintstones in Viva Rock Vegas,movie,2000
The key to a womans heart is an unexpected gift at an unexpected time.,Finding Forrester,movie,2000
Ill take poor assumptions for $800 Alex.,Finding Forrester,movie,2000
Wilsoooooon.,Cast Away,movie,2000
Wilma whatever you decide to do I want you to know something. Your daddy will always love you.,Flintstones in Viva Rock Vegas,movie,2000
